fill	x	y	group
#FAF3F3	48116	20.5	190
#FAF3F3	48115.5	20	190
#FAF3F2	48115.5	21	191
#FAF3F2	48116	21.5	191
#FAF3F2	48116.5	21	191
#FAF3F2	48116	20.5	191
#FCF9F9	48116	21.5	192
#FCF9F9	48116.5	22	192
#FCF9F9	48117	21.5	192
#FCF9F9	48116.5	21	192
#FDF9F9	48116.5	22	193
#FDF9F9	48117	22.5	193
#FDF9F9	48117.5	22	193
#FDF9F9	48117	21.5	193
#FAF3F2	48117	22.5	194
#FAF3F2	48117.5	23	194
#FAF3F2	48118	22.5	194
#FAF3F2	48117.5	22	194
#FEFDFD	48117.5	23	195
#FEFDFD	48118	23.5	195
#FEFDFD	48118.5	23	195
#FEFDFD	48118	22.5	195
#FDFAF9	48118	23.5	196
#FDFAF9	48118.5	24	196
#FDFAF9	48119	23.5	196
#FDFAF9	48118.5	23	196
#FCF9F9	48118.5	24	197
#FCF9F9	48119	24.5	197
#FCF9F9	48119.5	24	197
#FCF9F9	48119	23.5	197
#F7EDEC	48119	24.5	198
#F7EDEC	48119.5	25	198
#F7EDEC	48120	24.5	198
#F7EDEC	48119.5	24	198
#933D38	48095.5	0	199
#933D38	48096	0.5	199
#933D38	48096.5	0	199
#933D38	48096	-0.5	199
#B16A63	48096	0.5	200
#B16A63	48096.5	1	200
#B16A63	48097	0.5	200
#B16A63	48096.5	0	200
#D4A6A0	48096.5	1	201
#D4A6A0	48097	1.5	201
#D4A6A0	48097.5	1	201
#D4A6A0	48097	0.5	201
#EAD1CD	48097	1.5	202
#EAD1CD	48097.5	2	202
#EAD1CD	48098	1.5	202
#EAD1CD	48097.5	1	202
#F4E6E4	48097.5	2	203
#F4E6E4	48098	2.5	203
#F4E6E4	48098.5	2	203
#F4E6E4	48098	1.5	203
#FDFDFE	48098	2.5	204
#FDFDFE	48098.5	3	204
#FDFDFE	48099	2.5	204
#FDFDFE	48098.5	2	204
#FEFDFD	48098.5	3	205
#FEFDFD	48099	3.5	205
#FEFDFD	48099.5	3	205
#FEFDFD	48099	2.5	205
#F8EFEE	48099	3.5	206
#F8EFEE	48099.5	4	206
#F8EFEE	48100	3.5	206
#F8EFEE	48099.5	3	206
#F7ECEA	48099.5	4	207
#F7ECEA	48100	4.5	207
